country,turnout,elect_disprop,compulsory_voting
Australia,83.91,6,1
Austria,90.1,1.5,0
Belgium,86.87,2,1
Canada,70.75,8.1,0
Denmark,86.53,0.9,0
Finland,84.12,3,0
France,70.8,12.3,0
West Germany,82.74,2.5,0
Ireland,73.65,3.5,0
Israel,81.79,1.2,0
Italy,93.42,2,1
Japan,70.02,5,0
Netherlands,89.6,1,1
New Zealand,81.82,9,0
Norway,81.65,3.5,0
Sweden,83.96,1.5,0
Switzerland,25.08,3,0
United Kingdom,74.84,8,0
United States,61.73,7,0
